Model No.,Product Code,Product Description,NRP
1840-F,JSE-CHR-840F0812H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"22,690"
,,Width 800mm to 1200mm,
1840-F,JSE-CHR-840F1216H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"25,920"
,,Width 1201mm to 1600mm,
1840-F,JSE-CHR-840F1620H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"29,120"
,,Width 1601mm to 2000mm,
1840-F,JSE-CHR-840F0812H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"26,780"
,,Width 800mm to 1200mm,
1840-F,JSE-CHR-840F1216H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"30,230"
,,Width 1201mm to 1600mm,
1840-F,JSE-CHR-840F1620H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  8mm Glass-,"33,660"
,,Width 1601mm to 2000mm,
1840 U 3 Part,JSE-CHR-840U1620H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"32,500"
,,GlassWidth1600mm to 2000mm,
1840 U 3 Part,JSE-CHR-840U2024H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"38,030"
,,GlassWidth2001mm to 2400mm,
1840 U 3 Part,JSE-CHR-840U2428H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"40,850"
,,GlassWidth2401mm to 2800mm,
1840 U 3 Part,JSE-CHR-840U2832H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"45,840"
,,GlassWidth2801mm to 3200mm,
1840 U 3 Part,JSE-CHR-840U1620H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"39,060"
,,GlassWidth1600mm to 2000mm,
1840 U 3 Part,JSE-CHR-840U2024H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"44,890"
,,GlassWidth2001mm to 2400mm,
1840 U 3 Part,JSE-CHR-840U2428H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"47,990"
,,GlassWidth2401mm to 2800mm,
1840 U 3 Part,JSE-CHR-840U2832H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front - 8mm,"53,660"
,,GlassWidth2801mm to 3200mm,
1840 U 4 PART,JSE-CHR-840U4P202419,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"40,700"
,,glass in front - 8mm GlassWidth2001mm to 2400mm,
1840 U 4 PART,JSE-CHR-840U4P242819,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"44,420"
,,glass in front - 8mm GlassWidth2401mm to 2800mm,
1840 U 4 PART,JSE-CHR-840U4P283219,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"46,880"
,,glass in front - 8mm GlassWidth2801mm to 3200mm,
1840 U 4 PART,JSE-CHR-840U4P323619,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"49,480"
,,glass in front - 8mm GlassWidth3201mm to 3600mm,
1840 U 4 PART,JSE-CHR-840U4P202422,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"49,780"
,,glass in front - 8mm GlassWidth2001mm to 2400mm,
1840 U 4 PART,JSE-CHR-840U4P242822,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"53,770"
,,glass in front - 8mm GlassWidth2401mm to 2800mm,
1840 U 4 PART,JSE-CHR-840U4P283222,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"56,850"
,,glass in front - 8mm GlassWidth2801mm to 3200mm,
1840 U 4 PART,JSE-CHR-840U4P323622,U Shaped shower enclosure with 2 fixed glass at sides and 1 openable door & 1 fixed,"59,390"
,,glass in front - 8mm GlassWidth3201mm to 3600mm,
1840 P,JSE-CHR-840P1620H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"30,650"
,,GlassWidth1600mm to 2000mm,
1840 P,JSE-CHR-840P2024H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"35,650"
,,GlassWidth2001mm to 2400mm,
1840 P,JSE-CHR-840P2428H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"38,470"
,,GlassWidth2401mm to 2800mm,
1840 P,JSE-CHR-840P2832H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"42,640"
,,GlassWidth2801mm to 3200mm,
1840 P,JSE-CHR-840P1620H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"39,640"
,,GlassWidth1600mm to 2000mm,
1840 P,JSE-CHR-840P2024H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"42,030"
,,GlassWidth2001mm to 2400mm,
1840 P,JSE-CHR-840P2428H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"45,110"
,,GlassWidth2401mm to 2800mm,
1840 P,JSE-CHR-840P2832H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 8mm,"49,570"
,,GlassWidth2801mm to 3200mm,
1850 C,JSE-CHR-185C2832H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"52,270"
,,door in between - 8mm GlassWidth2801mm to 3200mm,
